id_contacto,id,telefono,correoelec,www
59,123184,6642044609,EDPREG@YAHOO.COM,#N/A
60,9439358,#N/A,#N/A,#N/A
61,7863369,#N/A,#N/A,#N/A
62,9499001,#N/A,#N/A,#N/A
63,9046053,#N/A,#N/A,#N/A
64,6166426,#N/A,#N/A,#N/A
65,6166473,#N/A,#N/A,#N/A
66,6166370,#N/A,#N/A,#N/A
67,6166371,#N/A,#N/A,#N/A
68,6166308,#N/A,#N/A,#N/A
69,100510,#N/A,#N/A,#N/A
70,6166298,#N/A,#N/A,#N/A
71,10460175,#N/A,#N/A,#N/A
72,10445441,#N/A,#N/A,IEHINC.COM
73,6166454,6461619668,LUIS_CASTAVA@HOTMAIL.COM,#N/A
74,9450263,#N/A,#N/A,#N/A
75,9045843,6462182074,#N/A,#N/A
76,6166452,#N/A,MCORI@PRODIGY.NET.MX,#N/A
77,6166268,#N/A,SRA.CONSUELO.FRANCISCA@GMAIL.COM,#N/A
78,9223506,6161057659,#N/A,#N/A
79,6739928,6461511389,LETTY_VLZA@HOTMAIL.COM,#N/A
80,8853688,6469476045,#N/A,#N/A
81,10386036,#N/A,#N/A,#N/A
82,6166459,#N/A,#N/A,#N/A
83,8901388,#N/A,#N/A,#N/A
84,6740777,6461901520,ORNAMENTALLIFE@GMAIL.COM,#N/A
85,6166411,6161359176,BRISAMARINA94@HOTMAIL.COM,#N/A
86,7863371,6461207722,BAJAORNAMENTALS@DOL.COM.MX,#N/A
87,9045932,6461613903,#N/A,#N/A
88,8704365,6462716696,#N/A,#N/A
89,100528,6461134055,#N/A,#N/A
90,8696208,#N/A,#N/A,#N/A
91,9046026,#N/A,#N/A,#N/A
92,9046042,#N/A,PROCEAN@PRODIGY.NET.MX,#N/A
93,6166272,#N/A,MAXIMO.GUTIERREZ@PROCESA.MX,#N/A
94,8011869,#N/A,#N/A,#N/A
95,9223512,6161118718,#N/A,#N/A
96,9223507,6161074206,#N/A,#N/A
97,8011851,#N/A,TIBURONS_PANGAS1@HOTMAIL.COM,#N/A
98,10162087,#N/A,#N/A,#N/A
99,10809414,#N/A,#N/A,#N/A
100,9046109,6461617161,#N/A,#N/A
101,9046154,6461502624,#N/A,#N/A
102,6166317,6461306435,PPA890929@HOTMAIL.COM,#N/A
103,6166318,#N/A,#N/A,#N/A
104,9046129,#N/A,#N/A,#N/A
105,6166380,6161181893,#N/A,#N/A
106,6166425,#N/A,#N/A,#N/A
107,6188995,#N/A,#N/A,#N/A
108,8983348,6161190392,#N/A,#N/A
109,7863322,6199206665,#N/A,#N/A
110,6166467,#N/A,#N/A,#N/A
111,9046067,#N/A,#N/A,#N/A
112,7863331,6461278844,#N/A,#N/A
113,8011829,6461612971,A.MEZABC@GMAIL.COM,#N/A
114,6166407,#N/A,#N/A,#N/A
115,6708635,#N/A,#N/A,#N/A
116,6166458,#N/A,#N/A,#N/A
117,9045977,6462146351,#N/A,#N/A
118,7863288,#N/A,#N/A,#N/A
119,9045965,#N/A,MARCOCASTRO79@HOTMAIL.COM,#N/A
120,6724646,#N/A,#N/A,#N/A
121,6166373,#N/A,#N/A,#N/A
122,6166391,6469470927,#N/A,#N/A
123,8161698,6161241026,#N/A,#N/A
124,6166402,#N/A,#N/A,#N/A
125,6166403,#N/A,#N/A,#N/A
126,6166396,#N/A,#N/A,#N/A
127,6166416,#N/A,#N/A,#N/A
128,6166390,#N/A,#N/A,#N/A
129,6166393,#N/A,#N/A,#N/A
130,9223508,6161110846,#N/A,#N/A
131,6166319,6461513206,#N/A,#N/A
132,6166323,#N/A,#N/A,#N/A
133,6166400,#N/A,#N/A,#N/A
134,6166348,#N/A,#N/A,#N/A
135,6166378,6461483249,#N/A,#N/A
136,6166384,#N/A,#N/A,#N/A
137,9045849,6161070158,ALBERTO_CARDENAS_RANCH@HOTMAIL.COM,#N/A
138,9419139,6865437054,#N/A,#N/A
139,9430471,6161125101,#N/A,#N/A
140,8704368,6161184409,#N/A,#N/A
141,9045926,#N/A,#N/A,#N/A
142,9045928,6461716407,#N/A,#N/A
143,6166447,#N/A,#N/A,#N/A
144,6166362,#N/A,#N/A,#N/A
145,6166418,#N/A,#N/A,#N/A
146,9046126,#N/A,ELDAQUIROZ62@HOTMAIL.COM,#N/A
147,6166457,#N/A,#N/A,#N/A
148,6166341,#N/A,#N/A,#N/A
149,6166352,6461972179,JUANITOELMARINO2785@GMAIL.COM,#N/A
150,9046018,#N/A,#N/A,#N/A
151,9046142,6461715933,AGROMARISMA@HOTMAIL.COM,#N/A
152,6166511,6461614028,BRENDA.RUIZ1786@GMAIL.COM,#N/A
153,6166369,6461721552,#N/A,#N/A
154,6166335,#N/A,#N/A,#N/A
155,6166339,#N/A,#N/A,#N/A
156,6166477,#N/A,#N/A,#N/A
157,6166351,6461634335,ALFREDOCORTEZ13@HOTMAIL.COM,#N/A
158,6166337,#N/A,#N/A,#N/A
159,6166469,6461877074,#N/A,#N/A
160,6166299,6461851340,DLOROS@YAHOO.COM.MX,#N/A
161,6166401,6161297079,#N/A,#N/A
162,6166420,#N/A,#N/A,#N/A
163,6166398,#N/A,#N/A,#N/A
164,6166410,#N/A,#N/A,#N/A
165,7863380,6461319068,#N/A,#N/A
166,9045924,6461167736,#N/A,#N/A
167,9045968,6461910859,#N/A,#N/A
168,6166312,#N/A,#N/A,#N/A
169,7889003,#N/A,#N/A,#N/A
170,6166338,6461174565,PESCADORES_MANCHURIA@HOTMAIL.COM,#N/A
171,9045989,6461173086,PESQUERA3H@YAHOO.COM.MX,#N/A
172,6166254,#N/A,ANCHOSAR@LIVE.COM.MX,#N/A
173,6166282,6861494741,#N/A,#N/A
174,6166265,#N/A,PESQUERA.BONNYMAR@GMAIL.COM,#N/A
175,8161732,#N/A,#N/A,#N/A
176,6166476,#N/A,GRUPOCINCOSPR@GMAIL.COM,#N/A
177,6800280,6469473866,ISLAGUARDIA@GMAIL.COM,#N/A
178,9276519,6461170836,#N/A,#N/A
179,6166269,#N/A,P.NORMEX@HOTMAIL.COM,#N/A
180,6166303,#N/A,PESQUERAPATRON@GMAIL.COM,#N/A
181,6166271,#N/A,PESQUERA.ROSAMAR@HOTMAIL.COM,#N/A
182,6166409,#N/A,PESQUERA_SANANTONIO@HOTMAIL.COM,#N/A
183,6166446,#N/A,PESQUERA@THOR-MEXICO.COM,#N/A
184,11377463,#N/A,#N/A,#N/A
185,6166481,6161351450,#N/A,#N/A
186,115267,#N/A,#N/A,#N/A
187,7863324,#N/A,#N/A,#N/A
188,6166462,#N/A,PRODUCTORES_PESQUEROS@HOTMAIL.COM,#N/A
189,6166502,#N/A,PRODUCTOSDELMARCATALINA@LIVE.COM,#N/A
190,6166270,#N/A,LEON_VERULO1@HOTMAIL.COM,#N/A
191,7863305,6461715530,ABULONES@YAHOO.COM,#N/A
192,9434820,#N/A,#N/A,#N/A
193,9290980,6121523661,EMMANUEL@BLUEEVOLUCTION.COM,#N/A
194,8346446,#N/A,PESTCONTROL.MXL@GMAIL.COM,WWW.PROTTECTO.COM
195,10533822,#N/A,#N/A,#N/A
196,6501219,#N/A,JDEJSAUCEDO@GMAIL.COM,#N/A
197,9276518,6461519135,PUNTAFINALDELGOLFO@HOTMAIL.COM,WWW.CONTURMEXICANA.COM
198,11242774,#N/A,#N/A,#N/A
199,6166478,#N/A,#N/A,#N/A
200,7888968,6461517107,URIAS_LUIS@HOTMAIL.COM,#N/A
201,8723524,6461030825,#N/A,#N/A
202,10426804,6863903087,SERVIPLAGASMEXICALI@GMAIL.COM,#N/A
203,8723527,#N/A,#N/A,#N/A
204,10705030,6861988988,LASISLASDELGOLFO@HOTMAIL.COM,#N/A
205,6166405,6161094725,#N/A,#N/A
206,6166359,#N/A,CONTABULON@GMAIL.COM,#N/A
207,6166340,#N/A,FACTURASEMANCIPACION@HOTMAIL.COM,#N/A
208,6166313,#N/A,SCTPPENSENADA@HOTMAIL.COM,#N/A
209,6166302,#N/A,CONSEJO_ADMON@CEDMEX.COM.MX,WWW.CEDMEX.COM
210,6166336,6861720221,#N/A,#N/A
211,8835832,6531127127,MOTAOVIEDO@HOTMAIL.COM,#N/A
212,8465043,6863511766,ELMAYORCUCAPAH@OUTLOOK.ES,#N/A
213,8789630,#N/A,#N/A,#N/A
214,6188998,#N/A,#N/A,#N/A
215,8789537,#N/A,MARISCOJIMENEZ@HOTMAIL.COM,#N/A
216,6189001,#N/A,#N/A,#N/A
217,9223509,6161019104,#N/A,#N/A
218,6166397,6863884671,#N/A,#N/A
219,9330558,6861712263,HIRAMCVCTEM_@HOTMAIL.COM,#N/A
220,8723456,6641236972,#N/A,#N/A
221,6166374,#N/A,#N/A,#N/A
222,8835898,#N/A,#N/A,#N/A
223,8893338,6461374314,#N/A,#N/A
224,6166475,#N/A,#N/A,#N/A
225,6166513,#N/A,DANIEL.L.TESTA@HOTMAIL.COM,#N/A
226,8320322,#N/A,MOD21@PRODIGY.NET.MX,#N/A
227,9880375,6161594566,#N/A,#N/A
228,10346631,6161057779,#N/A,#N/A
229,9902430,6161354790,#N/A,#N/A
230,9045925,6461518394,ARNOLDOMACFARLAND@YAHOO.COM.MX,#N/A
231,7759570,6462101629,BISMARKDELSUR@HOTMAIL.COM,#N/A
232,9301099,#N/A,#N/A,#N/A
233,6186038,#N/A,RAYPACHECOMX@BCMINING.MX,#N/A
234,9287594,#N/A,#N/A,#N/A
235,9287595,#N/A,#N/A,#N/A
236,6186060,6461197744,#N/A,#N/A
237,8601619,#N/A,CHAPULTEPECMING@HOTMAIL.COM,#N/A
238,6285376,#N/A,GABRIEL.MARTINEZ@ESSA.COM.MX,WWW.GOB.MX/ESSA
239,6716579,6658515283,#N/A,#N/A
240,6186031,#N/A,#N/A,#N/A
241,6186034,#N/A,ANGHY12000@YAHOO.COM.MX,#N/A
242,6186049,6862214882,BANCOCUERVITOS@HOTMAIL.COM,#N/A
243,6186048,#N/A,JANO_0305@HOTMAIL.COM,#N/A
244,6186056,#N/A,EJIDOHERIBERTOJARA@HOTMAIL.COM,#N/A
245,6186052,#N/A,#N/A,#N/A
246,6186041,#N/A,#N/A,#N/A
247,6283154,#N/A,DIANA.PADRON@EEOSAND.COM,#N/A
248,6231004,#N/A,GABRIEL.MARTINEZ@ESSA.COM.MX,WWW.GOB.MX/ESSA
249,6186057,#N/A,#N/A,#N/A
250,6186059,#N/A,#N/A,#N/A
251,8833938,#N/A,#N/A,#N/A
252,9298996,6862994832,#N/A,#N/A
253,6186055,6861196430,ALFONSOMV@LIVE.COM.MX,#N/A
254,6186040,#N/A,PIEDRADEMAR@HOTMAIL.COM,#N/A
255,6186043,#N/A,#N/A,#N/A
256,6186044,#N/A,#N/A,#N/A
257,9290983,#N/A,#N/A,#N/A
258,6186033,#N/A,MCR.SECRE@YAHOO.COM,#N/A
259,6188988,#N/A,JDOMINGUEZE@MINERAFRISCO.COM.MX,#N/A
260,9223688,#N/A,R.PALACIOS@MINERAFRISCO.COM.MX,#N/A
261,6512881,#N/A,ROBERTOMARCOS@CEMEX.COM,WWW.CEMEXMEXICO.COM
262,6188993,#N/A,#N/A,#N/A
263,9301123,#N/A,TRABAJOENSENADA@HOTMAIL.COM,#N/A
264,9586852,#N/A,CARLOS@OLACCONCRETOS.COM,WWW.OLACCONCRETOS.COM
265,6186053,6644078585,GPASTEN@PATSATJ.COM,WWW.PATSATIJUANA.COM
266,6186035,#N/A,PETREMEX@PRODIGY.NET.MX,#N/A
267,9311574,#N/A,PETREMEX@PRODIGY.NET.MX,#N/A
268,6694572,#N/A,PETREMEX@PRODIGY.NET.MX,#N/A
269,6423473,#N/A,#N/A,#N/A
270,6723439,#N/A,#N/A,#N/A
271,6188987,6161016899,MOREO-P@HOTMAIL.COM.ES,#N/A
272,8690685,6865661525,SALINASDEBC@GMAIL.COM,#N/A
273,6186050,6865523471,JORGE.MESTAS@SUAVISAL.COM,WWW.SUAVISAL.COM
274,6186054,6862011216,SALINERA.CACHANILLA@HOTMAIL.COM,#N/A
275,6186058,#N/A,#N/A,#N/A
276,8833939,#N/A,#N/A,#N/A
277,6186046,#N/A,#N/A,#N/A
278,9275386,6161662017,MIGUEL@OLACONCRETOS.COM,#N/A
279,11459594,6611140530,#N/A,#N/A
280,79238,6865258025,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
281,94348,6461942386,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
282,9480298,6161011702,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
283,9423948,#N/A,#N/A,#N/A
284,10804448,#N/A,#N/A,#N/A
285,9725542,#N/A,#N/A,#N/A
286,100297,6461984646,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
287,9480299,6861405844,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
288,58543,6865250081,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
289,9473771,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
290,9471975,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
291,9284898,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
292,120735,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
293,78381,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
294,126970,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
295,9274901,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
296,52450,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
297,112400,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
298,65375,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
299,9276914,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
300,119830,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
301,58400,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
302,153389,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
303,149797,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
304,9284580,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
305,60176,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
306,61950,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
307,92374,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
308,9281745,#N/A,#N/A,#N/A
309,82058,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
310,10676921,#N/A,#N/A,#N/A
311,99493,#N/A,#N/A,#N/A
312,9480545,#N/A,GILBERTO.PEREZL@CFE.MX,WWW.CFE.MX
313,3293048,6865238335,ROBERTO.GARCIAG@CFE.MX,WWW.CFE.MX
314,8194800,#N/A,GILBERTO.PEREZL@CFE.MX,WWW.CFE.MX
315,99839,6462366184,SIGIFREDO.HERRERA@CFE.MX,WWW.CFE.MX
316,82061,6621083407,ARTURO.ESPINOZAM@CFE.MX,WWW.CFE.MX
317,9480544,#N/A,GILBERTO.PEREZL@CFE.MX,WWW.CFE.MX
318,9395008,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
319,131087,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
320,8486108,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
321,119845,#N/A,RELUQUE@CESPT.BOB.MX,WWW.CESPT.GOB.MX
322,9412821,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
323,114791,#N/A,LCASTRO@CESPT.GOB.MX,WWW.CESPT.GOB.MX
324,9395002,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
325,9433585,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
326,112329,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
327,111048,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
328,8317141,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
329,7017356,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
330,131885,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
331,114635,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
332,121092,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
333,9408969,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
334,106834,#N/A,RELUQUE@CESPT.BOB.MX,WWW.CESPT.GOB.MX
335,84371,6862026694,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
336,9313438,#N/A,#N/A,#N/A
337,8304453,#N/A,#N/A,#N/A
338,99343,#N/A,#N/A,#N/A
339,8677739,6461751978,ANTONIO.AMEZCUA@CESPE.GOB.MX,#N/A
340,96539,6461764190,#N/A,#N/A
341,98753,6161084925,#N/A,#N/A
342,8798002,#N/A,#N/A,WWW.CESPE.GOB.MX
343,8280027,#N/A,#N/A,CESPEM.GOB.MX
344,82108,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
345,8850282,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
346,127603,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
347,8317149,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
348,6958906,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
349,108313,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
350,8280348,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
351,7017285,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
352,9410801,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
353,9400808,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
354,9410789,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
355,59367,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
356,7049569,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
357,9401991,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
358,112751,#N/A,RELUQUE@CESPT.GOB.MX,WWW.CESPT.GOB.MX
359,10118149,#N/A,BIENESYSERVICIOS@CESPTE.GOB.MX,WWW.CESPTE.GOB.MX
360,92900,6862486640,MANUEL.MUJICA@DT.CFE.MX,WWW.CFE.MX
361,54653,6862486640,MANUEL.MUJICA@DT.CFE.MX,WWW.CFE.MX
362,9411612,#N/A,LROMERO@CEA.GOB.MX,#N/A
363,6508253,#N/A,ANTONIO.AMEZCUA@CESPE.GOB.MX,#N/A
364,6508254,#N/A,DEVAZQUEZ@CESPM.GOB.MX,WWW.CESPM.GOB.MX
365,58547,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
366,7048261,#N/A,JMALDONADO@CESPTE.GOB.MX,#N/A
367,6508255,#N/A,MCASTRO@CESPTE.GOB.MX,#N/A
368,6508256,6644103079,PLANEACION1@CESPT.GOB.MX,WWW.CESPT.GOB.MX
369,9456763,#N/A,LROMERO@CEABC.GOB.MX,#N/A
370,6508251,#N/A,LROMERO@CEABC.GOB.MX,WWW.CEA.GOB.MX
371,6729408,6585176106,#N/A,#N/A
372,81393,#N/A,#N/A,#N/A
373,8370242,#N/A,#N/A,#N/A
374,140088,#N/A,#N/A,#N/A
375,6508250,#N/A,#N/A,#N/A
376,6508252,#N/A,COMISARIADOEJHERMOSILLO@HOTMAIL.COM,#N/A
377,144592,#N/A,#N/A,#N/A
378,62244,#N/A,#N/A,#N/A
379,9480684,6121830466,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
380,9313395,6461851834,MARISSA.AGUILAR@DESALADORAKENTON.COM,#N/A
381,6752968,#N/A,#N/A,#N/A
382,9223690,#N/A,MRENDON@ENERGIABC.GOB.MX,#N/A
383,9460415,#N/A,DAISY.CRUZ@SAAVIENERGIA.COM,WWW.SAAVIENERGIA.COM
384,9433164,#N/A,IBEDOLLA@SEMPRAGLOBAL.COM.MX,WWW.SEMPRAINFRAESTRUCTURA.COM
385,9313437,#N/A,#N/A,#N/A
386,9462611,#N/A,ARMANDO.LOPEZ06@CFE.GOB.MX,#N/A
387,102558,#N/A,#N/A,#N/A
388,9390785,#N/A,CARLOS.MORENO@GENERACIONMEJICALI.COM,#N/A
389,82064,6862486640,MANUEL.MUJICA@DT.CFE.MX,WWW.CFE.MX
390,9697466,#N/A,DISTRIBUIDORADEGASLP.GOMEZ@HOTMAIL.COM,#N/A
391,9451594,#N/A,#N/A,#N/A
392,6701539,#N/A,RVALLE@IBERDROLA.COM.MX,WWW.IBERDROLAMEXICO.COM
393,101200,6461751978,LIVIER.CARRILLO@CESPE.GOB.MX,#N/A
394,72756,#N/A,#N/A,#N/A
395,87219,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
396,9306959,#N/A,#N/A,#N/A
397,148465,6535153070,MODULO22@PRODIGY.NET.MX,#N/A
398,9290197,#N/A,#N/A,#N/A
399,6723609,#N/A,MODULOQUINTO@HOTMAIL.COM,#N/A
400,84472,#N/A,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
401,6908690,6461751900,#N/A,#N/A
402,9457956,#N/A,CONTACTO@CESPEM.GOB.MX,WWW.CESPM.GOB.MX
403,80937,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
404,9396732,#N/A,CONTACTO@CESPEM.GOB.MX,WWW.CESPEM.GOB.MX
405,9412287,#N/A,CONTACTO@CESPEM.GOB.MX,WWW.CESPM.GOB.MX
406,9422622,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
407,9397703,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
408,9405932,#N/A,CONTACTO@CESPEM.GOB.MX,WWW.CESPM.GOB.MX
409,91483,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
410,137376,#N/A,FERNANDO.LIMA@CFE.GOB.MX,WWW.CFE.MX
411,57749,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
412,9472046,6863926533,DENISSE.RODRIGUEZ@CFE.MX,WWW.CFE.MX
413,101197,6461724685,ALBERTO.SILVA@CESPE.GOB.MX,#N/A
414,133708,6646307088,#N/A,#N/A
415,9456956,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
416,9414659,6865893126,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
417,9453259,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
418,9400429,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
419,9416164,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
420,9449312,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
421,86124,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
422,82696,6865893126,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
423,6915155,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
424,9422621,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
425,6929717,#N/A,#N/A,#N/A
426,100249,#N/A,#N/A,WWW.CESPE.GOB.MX
427,59205,#N/A,#N/A,#N/A
428,9281705,#N/A,#N/A,#N/A
429,9040647,#N/A,CONTACTO@CESPM.GOB.MX,WWW.CESPM.GOB.MX
430,9795238,3333692992,#N/A,WWW.CILA.SRE.GOB.MX
