nombre_act,codigo_act
Elaboración de tequila,312144
Elaboración de otras bebidas destiladas,312149
Elaboración de cigarros,312221
Elaboración de puros y otros productos de tabaco,312222
Preparación e hilado de fibras duras naturales,313111
Fabricación de hilos para coser y bordar,313113
Fabricación de telas anchas de tejido de trama,313210
Fabricación de telas angostas de tejido de trama y pasamanería,313220
Acabado de productos textiles,313310
Fabricación de telas recubiertas,313320
Fabricación de alfombras y tapetes,314110
"Confección de cortinas, blancos y similares",314120
Confección de productos de textiles recubiertos y de materiales sucedáneos,314912
"Confección, bordado y deshilado de productos textiles",314991
Fabricación de redes y otros productos de cordelería,314992
Fabricación de banderas y otros productos textiles no clasificados en otra parte,314999
Fabricación de ropa exterior de tejido de punto,315123
"Confección de prendas de vestir de cuero, piel y de materiales sucedáneos",315210
Confección en serie de ropa interior y de dormir,315221
Confección en serie de camisas,315222
Confección en serie de uniformes,315223
Confección en serie de disfraces y trajes típicos,315224
Confección de prendas de vestir sobre medida,315225
Confección en serie de otra ropa exterior de materiales textiles,315229
Confección de sombreros y gorras,315991
Confección de otros accesorios y prendas de vestir no clasificados en otra parte,315999
Curtido y acabado de cuero y piel,316110
Fabricación de calzado con corte de piel y cuero,316211
Fabricación de calzado de plástico,316213
"Fabricación de bolsos de mano, maletas y similares",316991
"Fabricación de otros productos de cuero, piel y materiales sucedáneos",316999
Aserraderos integrados,321111
Aserrado de tablas y tablones,321112
Tratamiento de la madera y fabricación de postes y durmientes,321113
Fabricación de laminados y aglutinados de madera,321210
Fabricación de productos de madera para la construcción,321910
Fabricación de productos para embalaje y envases de madera,321920
"Fabricación de productos de materiales trenzables, excepto palma",321991
Fabricación de artículos y utensilios de madera para el hogar,321992
Fabricación de productos de madera de uso industrial,321993
Fabricación de otros productos de madera,321999
Fabricación de pulpa,322110
Fabricación de papel en plantas integradas,322121
Fabricación de papel a partir de pulpa,322122
Fabricación de cartón en plantas integradas,322131
Fabricación de cartón y cartoncillo a partir de pulpa,322132
Fabricación de envases de cartón,322210
Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados,322220
Fabricación de productos de papelería,322230
Fabricación de pañales desechables y productos sanitarios,322291
Fabricación de otros productos de cartón y papel,322299
"Impresión de libros, periódicos y revistas",323111
Impresión de formas continuas y otros impresos,323119
Industrias conexas a la impresión,323120
Fabricación de productos de asfalto,324120
Fabricación de aceites y grasas lubricantes,324191
Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,325110
Fabricación de gases industriales,325120
Fabricación de pigmentos y colorantes sintéticos,325130
Fabricación de otros productos químicos básicos inorgánicos,325180
Fabricación de otros productos químicos básicos orgánicos,325190
Fabricación de resinas sintéticas,325211
Fabricación de hules sintéticos,325212
Fabricación de fibras químicas,325220
Fabricación de fertilizantes,325310
"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes",325320
Fabricación de preparaciones farmacéuticas,325412
Fabricación de pinturas y recubrimientos,325510
Fabricación de adhesivos,325520
"Fabricación de jabones, limpiadores y dentífricos",325610
"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",325620
Fabricación de tintas para impresión,325910
"Fabricación de películas, placas y papel fotosensible para fotografía",325992
Fabricación de resinas de plásticos reciclados,325993
Fabricación de otros productos químicos,325999
Fabricación de bolsas y películas de plástico flexible,326110
"Fabricación de tubería y conexiones, y tubos para embalaje",326120
Fabricación de laminados de plástico rígido,326130
Fabricación de espumas y productos de poliestireno,326140
Fabricación de espumas y productos de uretano,326150
Fabricación de botellas de plástico,326160
Fabricación de productos de plástico para el hogar con y sin reforzamiento,326191
Fabricación de autopartes de plástico con y sin reforzamiento,326192
Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento,326193
Fabricación de otros productos de plástico de uso industrial sin reforzamiento,326194
Fabricación de otros productos de plástico con reforzamiento,326198
Fabricación de otros productos de plástico sin reforzamiento,326199
Revitalización de llantas,326212
Fabricación de bandas y mangueras de hule y de plástico,326220
Fabricación de otros productos de hule,326290
"Fabricación de artículos de alfarería, porcelana y loza",327111
Fabricación de muebles de baño,327112
Fabricación de ladrillos no refractarios,327121
Fabricación de azulejos y losetas no refractarias,327122
Fabricación de productos refractarios,327123
Fabricación de vidrio,327211
Fabricación de espejos,327212
Fabricación de envases y ampolletas de vidrio,327213
Fabricación de fibra de vidrio,327214
Fabricación de artículos de vidrio de uso doméstico,327215
Fabricación de otros productos de vidrio,327219
Fabricación de cemento y productos a base de cemento en plantas integradas,327310
Fabricación de concreto,327320
Fabricación de tubos y bloques de cemento y concreto,327330
Fabricación de productos preesforzados de concreto,327391
Fabricación de otros productos de cemento y concreto,327399
Fabricación de cal,327410
Fabricación de yeso y productos de yeso,327420
Fabricación de productos abrasivos,327910
Fabricación de productos a base de piedras de cantera,327991
Fabricación de otros productos a base de minerales no metálicos,327999
Complejos siderúrgicos,331111
Fabricación de desbastes primarios y ferroaleaciones,331112
Fabricación de tubos y postes de hierro y acero,331210
Fabricación de otros productos de hierro y acero,331220
Industria básica del aluminio,331310
Fundición y refinación de otros metales no ferrosos,331419
Laminación secundaria de otros metales no ferrosos,331490
Moldeo por fundición de piezas de hierro y acero,331510
Moldeo por fundición de piezas metálicas no ferrosas,331520
Fabricación de productos metálicos forjados y troquelados,332110
Fabricación de herramientas de mano metálicas sin motor,332211
Fabricación de utensilios de cocina metálicos,332212
Fabricación de estructuras metálicas,332310
Fabricación de productos de herrería,332320
Fabricación de calderas industriales,332410
Fabricación de tanques metálicos de calibre grueso,332420
Fabricación de envases metálicos de calibre ligero,332430
Fabricación de herrajes y cerraduras,332510
"Fabricación de alambre, productos de alambre y resortes",332610
Maquinado de piezas metálicas para maquinaria y equipo en general,332710
"Fabricación de tornillos, tuercas, remaches y similares",332720
Recubrimientos y terminados metálicos,332810
Fabricación de válvulas metálicas,332910
Fabricación de baleros y rodamientos,332991
Fabricación de otros productos metálicos,332999
Fabricación de maquinaria y equipo agrícola,333111
Fabricación de maquinaria y equipo pecuario,333112
Fabricación de maquinaria y equipo para la construcción,333120
Fabricación de maquinaria y equipo para la industria extractiva,333130
Fabricación de maquinaria y equipo para la industria de la madera,333241
Fabricación de maquinaria y equipo para la industria del hule y del plástico,333242
Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas,333243
Fabricación de maquinaria y equipo para la industria textil,333244
Fabricación de maquinaria y equipo para otras industrias manufactureras,333249
Fabricación de máquinas fotocopiadoras,333312
Fabricación de otra maquinaria y equipo para el comercio y los servicios,333319
Fabricación de equipo de aire acondicionado y calefacción,333411
Fabricación de equipo de refrigeración industrial y comercial,333412
Fabricación de maquinaria y equipo para la industria metalmecánica,333510
"Fabricación de motores de combustión interna, turbinas y transmisiones",333610
Fabricación de bombas y sistemas de bombeo,333910
Fabricación de maquinaria y equipo para levantar y trasladar,333920
Fabricación de equipo para soldar y soldaduras,333991
Fabricación de otra maquinaria y equipo para la industria en general,333999
Fabricación de computadoras y equipo periférico,334110
"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico",334220
Fabricación de otros equipos de comunicación,334290
Fabricación de equipo de audio y de video,334310
Fabricación de componentes electrónicos,334410
"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico",334519
Fabricación y reproducción de medios magnéticos y ópticos,334610
Fabricación de focos,335131
Fabricación de lámparas ornamentales,335132
Fabricación de enseres electrodomésticos menores,335210
Fabricación de aparatos de línea blanca,335220
Fabricación de motores y generadores eléctricos,335311
Fabricación de equipo y aparatos de distribución de energía eléctrica,335312
Fabricación de acumuladores y pilas,335910
Fabricación de cables de conducción eléctrica,335920
"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas",335930
Fabricación de otros productos eléctricos,335999
Fabricación de automóviles y camionetas,336110
Fabricación de camiones y tractocamiones,336120
Fabricación de carrocerías y remolques,336210
Fabricación de motores de gasolina y sus partes para vehículos automotrices,336310
Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,336320
Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,336330
Fabricación de partes de sistemas de frenos para vehículos automotrices,336340
Fabricación de partes de sistemas de transmisión para vehículos automotores,336350
Fabricación de asientos y accesorios interiores para vehículos automotores,336360
Fabricación de piezas metálicas troqueladas para vehículos automotrices,336370
Fabricación de otras partes para vehículos automotrices,336390
Fabricación de equipo aeroespacial,336410
Fabricación de equipo ferroviario,336510
Fabricación de embarcaciones,336610
Fabricación de motocicletas,336991
Fabricación de bicicletas y triciclos,336992
Fabricación de otro equipo de transporte,336999
Fabricación de cocinas integrales y muebles modulares de baño,337110
"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",337120
Fabricación de muebles de oficina y estantería,337210
Fabricación de colchones,337910
Fabricación de persianas y cortineros,337920
"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio",339111
Fabricación de material desechable de uso médico,339112
Fabricación de artículos oftálmicos,339113
Orfebrería y joyería de metales y piedras preciosos,339912
Joyería de metales y piedras no preciosos y de otros materiales,339913
Metalistería de metales no preciosos,339914
Fabricación de artículos deportivos,339920
Fabricación de juguetes,339930
"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina",339940
Fabricación de anuncios y señalamientos,339950
Fabricación de instrumentos musicales,339991
"Fabricación de escobas, cepillos y similares",339993
Fabricación de velas y veladoras,339994
Fabricación de ataúdes,339995
Otras industrias manufactureras,339999
Comercio al por mayor de abarrotes,431110
Comercio al por mayor de carnes rojas,431121
Comercio al por mayor de carne de aves,431122
Comercio al por mayor de pescados y mariscos,431123
Comercio al por mayor de frutas y verduras frescas,431130
Comercio al por mayor de huevo,431140
"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos",431150
Comercio al por mayor de leche y otros productos lácteos,431160
Comercio al por mayor de embutidos,431170
Comercio al por mayor de dulces y materias primas para repostería,431180
Comercio al por mayor de pan y pasteles,431191
Comercio al por mayor de botanas y frituras,431192
Comercio al por mayor de conservas alimenticias,431193
Comercio al por mayor de miel,431194
Comercio al por mayor de otros alimentos,431199
Comercio al por mayor de bebidas no alcohólicas y hielo,431211
Comercio al por mayor de vinos y licores,431212
Comercio al por mayor de cerveza,431213
"Comercio al por mayor de cigarros, puros y tabaco",431220
"Comercio al por mayor de fibras, hilos y telas",432111
Comercio al por mayor de blancos,432112
Comercio al por mayor de cueros y pieles,432113
Comercio al por mayor de otros productos textiles,432119
"Comercio al por mayor de ropa, bisutería y accesorios de vestir",432120
Comercio al por mayor de calzado,432130
Comercio al por mayor de productos farmacéuticos,433110
Comercio al por mayor de artículos de perfumería y cosméticos,433210
Comercio al por mayor de artículos de joyería y relojes,433220
Comercio al por mayor de juguetes y bicicletas,433312
Comercio al por mayor de artículos y aparatos deportivos,433313
Comercio al por mayor de artículos de papelería,433410
Comercio al por mayor de revistas y periódicos,433430
Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,433510
"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra",434111
"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas",434112
"Comercio al por mayor de cemento, tabique y grava",434211
"Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos",434219
Comercio al por mayor de materiales metálicos para la construcción y la manufactura,434221
Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial,434222
"Comercio al por mayor de envases en general, papel y cartón para la industria",434223
Comercio al por mayor de madera para la construcción y la industria,434224
Comercio al por mayor de equipo y material eléctrico,434225
Comercio al por mayor de pintura,434226
Comercio al por mayor de vidrios y espejos,434227
Comercio al por mayor de ganado y aves en pie,434228
Comercio al por mayor de otras materias primas para otras industrias,434229
Comercio al por mayor de combustibles de uso industrial,434230
Comercio al por mayor de artículos desechables,434240
Comercio al por mayor de desechos metálicos,434311
Comercio al por mayor de desechos de papel y de cartón,434312
Comercio al por mayor de desechos de vidrio,434313
Comercio al por mayor de desechos de plástico,434314
Comercio al por mayor de otros materiales de desecho,434319
"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca",435110
Comercio al por mayor de maquinaria y equipo para la construcción y la minería,435210
Comercio al por mayor de maquinaria y equipo para la industria manufacturera,435220
"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía",435311
Comercio al por mayor de artículos y accesorios para diseño y pintura artística,435312
"Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio",435313
Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales,435319
"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo",435411
Comercio al por mayor de mobiliario y equipo de oficina,435412
Comercio al por mayor de otra maquinaria y equipo de uso general,435419
Comercio al por mayor de camiones,436111
"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",436112
Intermediación de comercio al por mayor de productos agropecuarios,437311
"Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios",437312
Intermediación de comercio al por mayor de productos de uso doméstico y personal,437313
"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",461110
Comercio al por menor de carnes rojas,461121
Comercio al por menor de carne de aves,461122
Comercio al por menor de pescados y mariscos,461123
Comercio al por menor de frutas y verduras frescas,461130
"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos",461140
"Comercio al por menor de leche, otros productos lácteos y embutidos",461150
Comercio al por menor de dulces y materias primas para repostería,461160
Comercio al por menor de paletas de hielo y helados,461170
Comercio al por menor de otros alimentos,461190
Comercio al por menor de vinos y licores,461211
Comercio al por menor de cerveza,461212
Comercio al por menor de bebidas no alcohólicas y hielo,461213
"Comercio al por menor de cigarros, puros y tabaco",461220
Comercio al por menor en supermercados,462111
Comercio al por menor en minisupers,462112
Comercio al por menor en tiendas departamentales,462210
Comercio al por menor de telas,463111
Comercio al por menor de blancos,463112
Comercio al por menor de artículos de mercería y bonetería,463113
"Comercio al por menor de ropa, excepto de bebé y lencería",463211
Comercio al por menor de ropa de bebé,463212
Comercio al por menor de lencería,463213
"Comercio al por menor de disfraces, vestimenta regional y vestidos de novia",463214
Comercio al por menor de bisutería y accesorios de vestir,463215
Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales,463216
Comercio al por menor de pañales desechables,463217
Comercio al por menor de sombreros,463218
Comercio al por menor de calzado,463310
Farmacias sin minisúper,464111
Farmacias con minisúper,464112
"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",464113
Comercio al por menor de lentes,464121
Comercio al por menor de artículos ortopédicos,464122
Comercio al por menor de artículos de perfumería y cosméticos,465111
Comercio al por menor de artículos de joyería y relojes,465112
Comercio al por menor de discos y casetes,465211
Comercio al por menor de juguetes,465212
Comercio al por menor de bicicletas,465213
Comercio al por menor de equipo y material fotográfico,465214
Comercio al por menor de artículos y aparatos deportivos,465215
Comercio al por menor de instrumentos musicales,465216
Comercio al por menor de artículos de papelería,465311
Comercio al por menor de libros,465312
Comercio al por menor de revistas y periódicos,465313
Comercio al por menor de mascotas,465911
Comercio al por menor de regalos,465912
Comercio al por menor de artículos religiosos,465913
Comercio al por menor de artículos desechables,465914
Comercio al por menor en tiendas de artesanías,465915
Comercio al por menor de otros artículos de uso personal,465919
Comercio al por menor de muebles para el hogar,466111
Comercio al por menor de electrodomésticos menores y aparatos de línea blanca,466112
Comercio al por menor de muebles para jardín,466113
"Comercio al por menor de cristalería, loza y utensilios de cocina",466114
"Comercio al por menor de mobiliario, equipo y accesorios de cómputo",466211
Comercio al por menor de teléfonos y otros aparatos de comunicación,466212
"Comercio al por menor de alfombras, cortinas, tapices y similares",466311
Comercio al por menor de plantas y flores naturales,466312
Comercio al por menor de antigüedades y obras de arte,466313
Comercio al por menor de lámparas ornamentales y candiles,466314
Comercio al por menor de otros artículos para la decoración de interiores,466319
Comercio al por menor de artículos usados,466410
Comercio al por menor en ferreterías y tlapalerías,467111
Comercio al por menor de pisos y recubrimientos cerámicos,467112
Comercio al por menor de pintura,467113
Comercio al por menor de vidrios y espejos,467114
Comercio al por menor de artículos para la limpieza,467115
Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,467116
Comercio al por menor de artículos para albercas y otros artículos,467117
Comercio al por menor de automóviles y camionetas nuevos,468111
Comercio al por menor de automóviles y camionetas usados,468112
"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",468211
"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",468212
"Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones",468213
Comercio al por menor de motocicletas,468311
Comercio al por menor de otros vehículos de motor,468319
Comercio al por menor de gasolina y diesel,468411
Comercio al por menor de gas L. P. en cilindros y para tanques estacionarios,468412
Comercio al por menor de gas L. P. en estaciones de carburación,468413
Comercio al por menor en estaciones de gas natural vehicular,468414
Comercio al por menor de otros combustibles,468419
"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor",468420
"Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares",469110
Transporte aéreo regular en líneas aéreas nacionales,481111
Transporte aéreo no regular,481210
Transporte por ferrocarril,482110
"Transporte marítimo de altura, excepto de petróleo y gas natural",483111
"Transporte marítimo de cabotaje, excepto de petróleo y gas natural",483112
Transporte marítimo de petróleo y gas natural,483113
Transporte por aguas interiores,483210
Autotransporte local de productos agrícolas sin refrigeración,484111
Otro autotransporte local de carga general,484119
Autotransporte foráneo de productos agrícolas sin refrigeración,484121
Otro autotransporte foráneo de carga general,484129
Servicios de mudanzas,484210
Autotransporte local de materiales para la construcción,484221
Autotransporte local de materiales y residuos peligrosos,484222
Autotransporte local con refrigeración,484223
Autotransporte local de madera,484224
Otro autotransporte local de carga especializado,484229
Autotransporte foráneo de materiales para la construcción,484231
Autotransporte foráneo de materiales y residuos peligrosos,484232
Autotransporte foráneo con refrigeración,484233
Otro autotransporte foráneo de carga especializado,484239
Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,485111
Transporte colectivo urbano y suburbano de pasajeros en autobuses que transitan en carril exclusivo,485115
Transporte colectivo foráneo de pasajeros de ruta fija,485210
Alquiler de automóviles con chofer,485320
Transporte escolar y de personal,485410
Alquiler de autobuses con chofer,485510
Otro transporte terrestre de pasajeros,485990
Transporte de gas natural por ductos,486210
Transporte por ductos de productos refinados del petróleo,486910
Transporte turístico por tierra,487110
Transporte turístico por agua,487210
Servicios a la navegación aérea,488111
Administración de aeropuertos y helipuertos,488112
Otros servicios relacionados con el transporte aéreo,488190
Administración de puertos y muelles,488310
Servicios de carga y descarga para el transporte por agua,488320
Servicios para la navegación por agua,488330
Otros servicios relacionados con el transporte por agua,488390
Servicios de grúa,488410
Servicios de administración de centrales camioneras,488491
"Servicios de administración de carreteras, puentes y servicios auxiliares",488492
Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera,488493
Servicios de agencias aduanales,488511
Otros servicios de intermediación para el transporte de carga,488519
Otros servicios relacionados con el transporte,488990
Servicios postales,491110
Servicios de mensajería y paquetería foránea,492110
Servicios de mensajería y paquetería local,492210
Almacenes generales de depósito,493111
Otros servicios de almacenamiento general sin instalaciones especializadas,493119
Almacenamiento con refrigeración,493120
Almacenamiento de productos agrícolas que no requieren refrigeración,493130
Otros servicios de almacenamiento con instalaciones especializadas,493190
Producción de programas para la televisión,512112
"Producción de videoclips, comerciales y otros materiales audiovisuales",512113
Exhibición de películas y otros materiales audiovisuales,512130
Editoras de música,512230
Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales,512240
Productoras y distribuidoras discográficas,512250
Otros servicios de grabación del sonido,512290
Edición de periódicos en formato electrónico,513111
Edición de periódicos integrada con la impresión,513112
Edición de revistas y otras publicaciones periódicas en formato electrónico,513121
Edición de libros en formato electrónico,513131
Edición de libros integrada con la impresión,513132
Edición de otros materiales en formato electrónico,513191
Edición de otros materiales integrada con la impresión,513192
Edición de software,513210
Estaciones de transmisión de programas de radio,516110
Estaciones de transmisión de programas de televisión,516120
"Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido",516210
Operadores de servicios de telecomunicaciones alámbricas,517311
Operadores de servicios de telecomunicaciones inalámbricas,517312
Operadores de servicios de telecomunicaciones vía satélite,517410
Otros servicios de telecomunicaciones,517910
"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",518210
Bibliotecas y archivos del sector privado,519211
Bibliotecas y archivos del sector público,519212
Portales de búsqueda en la red y otros servicios de suministro de información,519290
Banca central,521110
Banca múltiple,522110
Banca de desarrollo,522210
Fondos y fideicomisos financieros,522220
Uniones de crédito,522310
Cajas de ahorro popular,522320
Otras instituciones de ahorro y préstamo,522390
Compañías de autofinanciamiento,522440
Montepíos,522451
Casas de empeño,522452
Sociedades financieras de objeto múltiple,522460
Otras instituciones de intermediación crediticia y financiera no bursátil,522490
Servicios relacionados con la intermediación crediticia no bursátil,522510
Casas de bolsa,523110
Casas de cambio,523121
Centros cambiarios,523122
Asesoría en inversiones,523910
Otros servicios relacionados con la intermediación bursátil,523990
Compañías de seguros,524110
Fondos de aseguramiento campesino,524120
Compañías afianzadoras,524130
"Agentes, ajustadores y gestores de seguros y fianzas",524210
Administración de cajas de pensión y de seguros independientes,524220
Alquiler sin intermediación de viviendas amuebladas,531111
Alquiler sin intermediación de viviendas no amuebladas,531112
Alquiler sin intermediación de salones para fiestas y convenciones,531113
Alquiler sin intermediación de oficinas y locales comerciales,531114
"Alquiler sin intermediación de teatros, estadios, auditorios y similares",531115
Alquiler sin intermediación de edificios industriales dentro de un parque industrial,531116
Alquiler sin intermediación de otros bienes raíces,531119
Inmobiliarias y corredores de bienes raíces,531210
Servicios de administración de bienes raíces,531311
Otros servicios relacionados con los servicios inmobiliarios,531319
Alquiler de automóviles sin chofer,532110
Alquiler de camiones de carga sin chofer,532121
"Alquiler de autobuses, minibuses y remolques sin chofer",532122
Alquiler de aparatos eléctricos y electrónicos para el hogar y personales,532210
Alquiler de prendas de vestir,532281
"Alquiler de mesas, sillas, vajillas y similares",532282
Alquiler de otros artículos para el hogar y personales,532289
Centros generales de alquiler,532310
"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",532411
Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina,532420
"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera",532491
"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales",532492
Alquiler de maquinaria y equipo comercial y de servicios,532493
"Servicios de alquiler de marcas registradas, patentes y franquicias",533110
Bufetes jurídicos,541110
Notarías públicas,541120
Servicios de apoyo para efectuar trámites legales,541190
Servicios de contabilidad y auditoría,541211
Otros servicios relacionados con la contabilidad,541219
Servicios de arquitectura,541310
Servicios de arquitectura de paisaje y urbanismo,541320
Servicios de ingeniería,541330
Servicios de dibujo,541340
Servicios de inspección de edificios,541350
Servicios de levantamiento geofísico,541360
Servicios de elaboración de mapas,541370
Laboratorios de pruebas,541380
Diseño y decoración de interiores,541410
Diseño industrial,541420
Diseño gráfico,541430
Diseño de modas y otros diseños especializados,541490
Servicios de diseño de sistemas de cómputo y servicios relacionados,541510
Servicios de consultoría en administración,541610
Servicios de consultoría en medio ambiente,541620
Otros servicios de consultoría científica y técnica,541690
